State,Year,Total_RE,RE_Growth,GSDP (crore INR),GSDP_Growth,TOTAL_CO2,NET_GENERATION,Emission_Intensity
Andhra Pradesh,2006,353.2145639641019,,216140.0,,0.0,0.0,0.0
Andhra Pradesh,2006,353.2145639641019,,216140.0,,0.0,0.0,0.0
Andhra Pradesh,2007,373.77673937708073,5.82144042482593,239372.0,10.748588877579346,1402106.0,1333.9,5.857435289006233
Andhra Pradesh,2007,373.77673937708073,5.82144042482593,239372.0,10.748588877579346,1396925.03,1288.81,5.835791278846314
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,3080269.47,3338.62,11.617520819189863
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,0.0,0.0,0.0
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,0.0,0.0,0.0
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,0.0,0.0,0.0
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,0.0,0.0,0.0
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,0.0,0.0,0.0
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,0.0,0.0,0.0
Andhra Pradesh,2009,394.2920227138608,3.972302080435175,265140.0,5.452390516682515,0.0,0.0,0.0
Andhra Pradesh,2010,438.6050347213058,11.238627579235395,282786.0,6.655351889567784,1287680.12,1185.66,4.55354975140212
Andhra Pradesh,2010,438.6050347213058,11.238627579235395,282786.0,6.655351889567784,0.0,0.0,0.0
Andhra Pradesh,2010,438.6050347213058,11.238627579235395,282786.0,6.655351889567784,0.0,0.0,0.0
Andhra Pradesh,2011,497.2787450644965,13.377345378735228,379402.0,34.16576492471339,2527151.0,2638.75,6.6608794893015855
Andhra Pradesh,2012,627.6387168959207,26.214667955397264,380629.0,0.32340367209451326,2859001.74,2952.98,7.511255684669324
Andhra Pradesh,2012,627.6387168959207,26.214667955397264,380629.0,0.32340367209451326,567048.38,541.3,1.48976662314222
Andhra Pradesh,2012,627.6387168959207,26.214667955397264,380629.0,0.32340367209451326,636786.23,609.5,1.6729840080498333
Andhra Pradesh,2012,627.6387168959207,26.214667955397264,380629.0,0.32340367209451326,0.0,0.0,0.0
Andhra Pradesh,2013,1479.8200000000002,135.77576719910894,407115.0,6.958481881306988,0.0,0.0,0.0
Andhra Pradesh,2014,1887.8400000000001,27.572272303388257,444564.0,9.198629379904943,3437335.7,3150.93,7.731925437057432
Andhra Pradesh,2014,1887.8400000000001,27.572272303388257,444564.0,9.198629379904943,798824.17,779.73,1.7968710241944919
Andhra Pradesh,2014,1887.8400000000001,27.572272303388257,444564.0,9.198629379904943,863292.64,834.17,1.9418860726464582
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,3131671.18,2906.36,6.280853379221269
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,3726747.17,4275.29,7.474332779790054
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,4146289.95,4758.11,8.31576425073104
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,2731694.56,2805.0,5.478663634212183
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,0.0,0.0,0.0
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,0.0,0.0,0.0
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,0.0,0.0,0.0
Andhra Pradesh,2015,2618.1400000000003,38.68442240867871,498606.0,12.156179987583338,0.0,0.0,0.0
Andhra Pradesh,2016,6106.26,133.22893351768812,540212.0,8.344464366654236,3891980.84,4452.91,7.2045434755244235
Andhra Pradesh,2016,6106.26,133.22893351768812,540212.0,8.344464366654236,2290229.84,2325.0,4.2395019732993715
Andhra Pradesh,2017,6801.7,11.388968042631653,594737.0,10.093259683235466,3842557.73,4364.97,6.460936060813435
Andhra Pradesh,2017,6801.7,11.388968042631653,594737.0,10.093259683235466,0.0,0.41,0.0
Andhra Pradesh,2017,6801.7,11.388968042631653,594737.0,10.093259683235466,0.0,0.3,0.0
Andhra Pradesh,2018,7838.58,15.244424188070639,626614.0,5.359848134553591,3199752.75,3259.0,5.106417587222756
Andhra Pradesh,2023,14239.33,53.6941213549897,804470.0,4.926307551845577,2954084.55,3030.02,3.672087896378982
Andhra Pradesh,2023,14239.33,53.6941213549897,804470.0,4.926307551845577,741973.25,700.51,0.9223131378423061
Andhra Pradesh,2023,14239.33,53.6941213549897,804470.0,4.926307551845577,0.0,0.0,0.0
Assam,2007,27.11,1184.8341232227488,50222.0,5.7260746915919425,0.0,218.5,0.0
Assam,2007,27.11,1184.8341232227488,50222.0,5.7260746915919425,0.0,108.74,0.0
Assam,2011,31.11,14.754703061600893,143175.0,140.18218114106458,61885.68,106.45,0.43223803038239916
Assam,2015,34.11,0.0,191109.0,15.67501150037527,1616820.53,1605.0,8.460200880126001
Assam,2017,46.56,1.4600130747439488,219919.0,8.827153468163761,1414573.97,1407.0,6.4322499192884655
Assam,2017,46.56,1.4600130747439488,219919.0,8.827153468163761,228935.75,501.55,1.0410003228461389
Assam,2018,56.51,21.370274914089336,231040.0,5.056861844588245,32117.88,68.97,0.1390143698060942
Assam,2018,56.51,21.370274914089336,231040.0,5.056861844588245,32440.47,69.66,0.1404106215373961
