,S_NO,NAME,UNIT_NO,DT_ COMM,CAPACITY MW AS ON 31/03/2023,TYPE,STATE,SECTOR,SYSTEM,Fuel1,Fuel2,NET GENERATION(MU),Fuel 1 Consumption (if coal: only national coal) ,Fuel 1 Consumption (only for imported coal),Fuel 2 Consumption,CO2(ton) FUEL-1,"CO2(ton)
FUEL-2",TOTAL CO2(ton),Emission factor (ton/MWh),CDM Registry
I. Coal/ Lignite,1.00,AKALTARA TPP /NARIYARA TPP,0.00,,1800.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,9889.00,6965,0,2071.00,9580019.68,5450.01,9585469.69,0.97,
,1.00,AKALTARA TPP /NARIYARA TPP,1.00,13-08-2013,600.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,2778,1978,0.00,846.00,2731103.03,2226.32,2733329.35,0.98,
,1.00,AKALTARA TPP /NARIYARA TPP,2.00,22-08-2014,600.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,3580,2496,0.00,584.00,3455794.10,1536.84,3457330.94,0.97,
,1.00,AKALTARA TPP /NARIYARA TPP,3.00,18-01-2018,600.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,3531,2491,0.00,641.00,3393122.55,1686.84,3394809.40,0.96,
,2.00,AKRIMOTA LIG,0.00,,250.00,THERMAL,GUJARAT,STATE,GMDCL,LIGN,OIL,333.53,510.98,0.00,1214.75,652071.94,3656.25,655728.19,1.97,
,2.00,AKRIMOTA LIG,1.00,31-03-2005,125.00,THERMAL,GUJARAT,STATE,GMDCL,LIGN,OIL,187.66,282.96,0.00,622.34,360631.57,1872.96,362504.53,1.93,
,2.00,AKRIMOTA LIG,2.00,19-12-2005,125.00,THERMAL,GUJARAT,STATE,GMDCL,LIGN,OIL,145.87,228.02,0.00,592.41,291440.37,1783.28,293223.65,2.01,
,3.00,AMAR KANTAK,0.00,,210.00,THERMAL,MADHYA PRADESH,STATE,MPGPCL,COAL,OIL,1638.05,1100.15,0.00,179.08,1636967.21,512.13,1637479.34,1.00,
,3.00,AMAR KANTAK EXT,5.00,15-06-2008,210.00,THERMAL,MADHYA PRADESH,STATE,MPGPCL,COAL,OIL,1638.05,1100.15,0.00,179.08,1636967.21,512.13,1637479.34,1.00,
,4.00,AMARAVATI TPP,0.00,,1350.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,9004.00,7415.00,0.00,0.98,9935740.58,3.00,9935743.58,1.10,
,4.00,AMARAVATI TPP,1.00,25-03-2013,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,2014.00,1658.67,0.00,0.07,2222240.70,0.21,2222240.92,1.10,
,4.00,AMARAVATI TPP,2.00,17-02-2014,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1538.00,1266.60,0.00,0.07,1696956.04,0.21,1696956.25,1.10,
,4.00,AMARAVATI TPP,3.00,03-02-2015,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1742.00,1435.52,0.00,0.07,1923270.44,0.21,1923270.65,1.10,
,4.00,AMARAVATI TPP,4.00,08-03-2015,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1746.00,1437.56,0.00,0.07,1926003.57,0.21,1926003.79,1.10,
,4.00,AMARAVATI TPP,5.00,13-03-2015,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1964.00,1617.64,0.00,0.70,2167269.83,2.14,2167271.97,1.10,
,5.00,"ANAPARA ""C""",0.00,,1200.00,THERMAL,UTTAR PRADESH,PVT,LANCO ANAPARA POWER,COAL,OIL,7667.57,5098.98,0.00,1052.30,7229912.63,3099.65,7233012.28,0.94,
,5.00,"ANAPARA ""C""",1.00,15-11-2011,600.00,THERMAL,UTTAR PRADESH,PVT,LANCO ANAPARA POWER,COAL,OIL,3492.54,2345.27,0.00,530.32,3325395.40,1562.11,3326957.51,0.95,
,5.00,"ANAPARA ""C""",2.00,12-11-2011,600.00,THERMAL,UTTAR PRADESH,PVT,LANCO ANAPARA POWER,COAL,OIL,4175.03,2753.71,0.00,521.98,3904517.23,1537.54,3906054.77,0.94,
,6.00,ANPARA,0.00,,2630.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,15920.48,11872.61,0.00,7713.76,15375902.03,20625.75,15396527.78,0.97,
,6.00,ANPARA,1.00,01-01-1987,210.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,1087.90,933.44,0.00,378.29,1123839.28,1011.51,1124850.79,1.03,
,6.00,ANPARA,2.00,08-01-1987,210.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,1170.92,981.05,0.00,610.60,1181156.90,1632.68,1182789.58,1.01,
,6.00,ANPARA,3.00,01-04-1989,210.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,1190.59,1017.44,0.00,931.41,1224970.74,2490.49,1227461.23,1.03,
,6.00,ANPARA,4.00,03-01-1994,500.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,2120.68,1522.05,0.00,2042.40,2079040.86,5461.15,2084502.01,0.98,
,6.00,ANPARA,5.00,01-10-1994,500.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,3481.31,2488.23,0.00,861.93,3398790.58,2304.71,3401095.28,0.98,
,6.00,ANPARA,6.00,06-06-2015,500.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,3192.81,2290.75,0.00,1607.68,2958730.54,4298.76,2963029.30,0.93,
,6.00,ANPARA,7.00,06-03-2016,500.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,3676.27,2639.65,0.00,1281.45,3409373.13,3426.46,3412799.58,0.93,
,7.00,ANUPPUR TPP,0.00,,1200.00,THERMAL,MADHYA PRADESH,PVT,MB POWER (MP),COAL,OIL,7940.05,5865.86,0.00,1155.64,7643087.79,3456.59,7646544.38,0.96,
,7.00,ANUPPUR TPP,1.00,20-04-2015,600.00,THERMAL,MADHYA PRADESH,PVT,MB POWER (MP),COAL,OIL,3931.05,2900.86,0.00,711.97,3779757.38,2129.54,3781886.93,0.96,
,7.00,ANUPPUR TPP,2.00,30-03-2016,600.00,THERMAL,MADHYA PRADESH,PVT,MB POWER (MP),COAL,OIL,4009.00,2965.00,0.00,443.67,3863330.41,1327.04,3864657.45,0.96,
,8.00,AVANTHA BHANDAR TPP,0.00,,600.00,THERMAL,CHATTISGARH,PVT,RAIGARH ENERGY GEN LTD,COAL,OIL,3761.00,2937.12,76.53,528.00,3498450.70,1616.42,3500067.13,0.93,
,8.00,AVANTHA BHANDAR TPP,1.00,29-04-2017,600.00,THERMAL,CHATTISGARH,PVT,KORBA WEST POWER CO LTD,COAL,OIL,3761.00,2937.12,76.53,528.00,3498450.70,1616.42,3500067.13,0.93,
,9.00,BAKRESWAR,0.00,,1050.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,7444.82,5176.10,0.00,2638.21,7449601.46,7966.95,7457568.41,1.00,
,9.00,BAKRESWAR,1.00,18-07-1999,210.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,1392.07,994.12,0.00,924.38,1430764.43,2791.47,1433555.90,1.03,
,9.00,BAKRESWAR,2.00,20-05-2000,210.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,1462.55,1037.97,0.00,750.78,1493884.80,2267.23,1496152.03,1.02,
,9.00,BAKRESWAR,3.00,21-03-2001,210.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,1541.84,1125.62,0.00,360.28,1620024.80,1087.98,1621112.78,1.05,
,9.00,BAKRESWAR,4.00,23-12-2007,210.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,1466.03,964.31,0.00,356.16,1387860.94,1075.54,1388936.48,0.95,
,9.00,BAKRESWAR,5.00,07-06-2009,210.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,1582.33,1054.08,0.00,246.61,1517066.50,744.72,1517811.22,0.96,
,10.00,BALCO TPP,0.00,,600.00,THERMAL,CHATTISGARH,PVT,BALCO INDIA PVT LTD.,COAL,OIL,3007.00,2354.00,38.00,759.00,3235008.21,2325.32,3237333.52,1.08,
,10.00,BALCO TPP,1.00,05-06-2015,300.00,THERMAL,CHATTISGARH,PVT,BALCO INDIA PVT LTD.,COAL,OIL,1432.00,1119.00,11.00,479.00,1518834.16,1468.47,1520302.63,1.06,
,10.00,BALCO TPP,2.00,24-03-2016,300.00,THERMAL,CHATTISGARH,PVT,BALCO INDIA PVT LTD.,COAL,OIL,1575.00,1235.00,27.00,279.00,1716174.05,856.85,1717030.89,1.09,
,11.00,BANDAKHAR TPP,0.00,,300.00,THERMAL,CHATTISGARH,PVT,MARUTI CLEAN COAL CH. LTD,COAL,OIL,1974.32,1594.08,0.00,920.00,2092775.63,2762.56,2095538.20,1.06,
,11.00,BANDAKHAR TPP,1.00,19-06-2015,300.00,THERMAL,CHATTISGARH,PVT,MARUTI CLEAN COAL CH. LTD,COAL,OIL,1974.32,1594.08,0.00,920.00,2092775.63,2762.56,2095538.20,1.06,
,12.00,BANDEL,0.00,,270.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,1612.18,1233.13,0.00,2160.65,1754791.17,5745.56,1760536.73,1.09,
,12.00,BANDEL,2.00,31-05-1966,60.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,222.76,207.09,0.00,864.13,296722.32,2297.88,299020.19,1.34,
,12.00,BANDEL,5.00,08-10-1982,210.00,THERMAL,WEST BENGAL,STATE,WBPDC,COAL,OIL,1389.42,1026.04,0.00,1296.52,1458068.86,3447.68,1461516.54,1.05,
,13.00,BARADARHA TPP,0.00,,1200.00,THERMAL,CHATTISGARH,PVT,DB POWER LTD,COAL,OIL,8532.37,6310.64,0.00,1157.38,7883885.90,3409.16,7887295.06,0.92,
,13.00,BARADARHA TPP,1.00,23-02-2014,600.00,THERMAL,CHATTISGARH,PVT,DB POWER LTD,COAL,OIL,4224.53,3116.43,0.00,736.68,3893954.09,2169.96,3896124.05,0.92,
,13.00,BARADARHA TPP,2.00,24-03-2015,600.00,THERMAL,CHATTISGARH,PVT,DB POWER LTD,COAL,OIL,4307.84,3194.21,0.00,420.70,3989931.81,1239.21,3991171.01,0.93,
,14.00,BARAUNI,0.00,,710.00,THERMAL,BIHAR,STATE,BSEB,COAL,OIL,2821.92,2187.99,0.00,7487.00,2853565.14,19832.08,2873397.22,1.02,
,14.00,BARAUNI,3.00,01-05-1983,105.00,THERMAL,BIHAR,STATE,BSEB,COAL,OIL,35.92,46.95,0.00,1534.00,57144.53,4071.33,61215.86,1.70,
,14.00,BARAUNI,4.00,31-03-1985,105.00,THERMAL,BIHAR,STATE,BSEB,COAL,OIL,34.11,44.22,0.00,2355.00,55328.15,6247.31,61575.46,1.81,
,14.00,BARAUNI (EXT),8.00,11-01-2018,250.00,THERMAL,BIHAR,STATE,BSEB,COAL,OIL,1326.21,1021.17,0.00,2058.00,1327791.38,5433.24,1333224.62,1.01,
,14.00,BARAUNI (EXT),9.00,31-03-2018,250.00,THERMAL,BIHAR,STATE,BSEB,COAL,OIL,1425.68,1075.65,0.00,1540.00,1413301.08,4080.20,1417381.28,0.99,
,15.00,BARH STPP I,0.00,,1320.00,THERMAL,BIHAR,CENTER,NPGCL,COAL,OIL,5685.04,3830.34,180.27,20662.54,5128440.71,54869.86,5183310.56,0.91,
,15.00,BARH STPP I,1.00,30-10-2021,660.00,THERMAL,BIHAR,CENTER,NPGCL,COAL,OIL,2702.05,1974.51,54.06,10599.65,2619485.65,27807.94,2647293.59,0.98,
,15.00,BARH STPP I,2.00,01-08-2023,660.00,THERMAL,BIHAR,CENTER,NPGCL,COAL,OIL,2982.99,1855.83,126.21,10062.89,2508955.06,27061.91,2536016.97,0.85,
,16.00,BARH STPP II,0.00,,1320.00,THERMAL,BIHAR,CENTER,NTPC,COAL,OIL,7986.92,5235.65,342.87,4643.39,7294238.11,12585.01,7306823.11,0.91,
,16.00,BARH STPP II,1.00,30-11-2013,660.00,THERMAL,BIHAR,CENTER,NTPC,COAL,OIL,3775.20,2457.00,152.42,2232.00,3408548.87,6044.12,3414592.99,0.90,
,16.00,BARH STPP II,2.00,04-03-2015,660.00,THERMAL,BIHAR,CENTER,NTPC,COAL,OIL,4211.72,2778.65,190.45,2411.39,3885689.24,6540.89,3892230.13,0.92,
,17.00,BARKHERA TPP,0.00,,90.00,THERMAL,UTTAR PRADESH,PVT,BAJAJ ENERGY PVT,COAL,OIL,314.80,286.86,0.00,34.60,379897.50,98.95,379996.45,1.21,
,17.00,BARKHERA TPP,1.00,06-11-2011,45.00,THERMAL,UTTAR PRADESH,PVT,BAJAJ ENERGY PVT,COAL,OIL,160.68,146.75,0.00,13.30,193887.98,38.04,193926.01,1.21,
,17.00,BARKHERA TPP,2.00,28-01-2012,45.00,THERMAL,UTTAR PRADESH,PVT,BAJAJ ENERGY PVT,COAL,OIL,154.12,140.11,0.00,21.30,186009.53,60.91,186070.44,1.21,
,18.00,BARSINGAR LIGNITE,0.00,,250.00,THERMAL,RAJASTHAN,CENTER,ADANI POWER LTD,LIGN,OIL,1478.61,1425.34,0.00,596.61,1793238.02,1839.78,1795077.80,1.21,
,18.00,BARSINGAR LIGNITE,1.00,28-06-2010,125.00,THERMAL,RAJASTHAN,CENTER,NLC,LIGN,OIL,768.33,743.05,0.00,217.48,934840.47,670.65,935511.11,1.22,
,18.00,BARSINGAR LIGNITE,2.00,25-01-2011,125.00,THERMAL,RAJASTHAN,CENTER,NLC,LIGN,OIL,710.28,682.29,0.00,379.13,858397.55,1169.13,859566.68,1.21,
,19.00,BELA TPP,0.00,,270.00,THERMAL,MAHARASHTRA,PVT,IEPL,COAL,OIL,1637.20,1278.16,0.00,746.04,1759474.36,2133.52,1761607.88,1.08,
,19.00,BELA TPP,1.00,20-03-2013,270.00,THERMAL,MAHARASHTRA,PVT,IEPL,COAL,OIL,1637.20,1278.16,0.00,746.04,1759474.36,2133.52,1761607.88,1.08,
,20.00,BELLARY TPS,0.00,,1700.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,7630.60,6460.00,50.94,9293.46,8190283.19,27235.23,8217518.42,1.08,
,20.00,BELLARY TPS,1.00,03-12-2007,500.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,2413.88,2133.00,31.03,2415.68,2770511.90,7081.06,2777592.95,1.15,
,20.00,BELLARY TPS,2.00,23-03-2012,500.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,2063.33,1723.00,19.11,2253.14,2212038.11,6603.31,2218641.42,1.08,
,20.00,BELLARY TPS,3.00,01-03-2016,700.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,3153.39,2604.00,0.80,4624.64,3207733.18,13550.86,3221284.04,1.02,
,21.00,BHADRADRI  TPP,0.00,,1080.00,THERMAL,TELANGANA,STATE,TSGENCO,COAL,OIL,6308.19,5202.57,0.00,2781.00,6482812.62,8174.78,6490987.40,1.03,
,21.00,BHADRADRI  TPP,1.00,05-06-2020,270.00,THERMAL,TELANGANA,STATE,TSGENCO,COAL,OIL,1624.72,1363.99,0.00,596.00,1699636.38,1749.60,1701385.98,1.05,
,21.00,BHADRADRI  TPP,2.00,07-12-2020,270.00,THERMAL,TELANGANA,STATE,TSGENCO,COAL,OIL,1551.67,1252.57,0.00,693.00,1560806.91,2034.75,1562841.66,1.01,
,21.00,BHADRADRI  TPP,3.00,26-03-2021,270.00,THERMAL,TELANGANA,STATE,TSGENCO,COAL,OIL,1515.12,1250.33,0.00,526.00,1558006.97,1549.68,1559556.65,1.03,
,21.00,BHADRADRI  TPP,4.00,09-01-2022,270.00,THERMAL,TELANGANA,STATE,TSGENCO,COAL,OIL,1616.68,1335.68,0.00,966.00,1664362.36,2840.74,1667203.10,1.03,
,22.00,BHAVNAGAR TPP,0.00,,500.00,THERMAL,GUJARAT,STATE,BECL,LIGN,OIL,1554.00,1993.93,0.00,3730.00,2310147.85,10722.50,2320870.34,1.49,
,22.00,BHAVNAGAR TPP,1.00,16-05-2016,250.00,THERMAL,GUJARAT,STATE,BECL,LIGN,OIL,811.00,1035.59,0.00,1580.00,1199613.92,4541.97,1204155.89,1.48,
,22.00,BHAVNAGAR TPP,2.00,27-03-2017,250.00,THERMAL,GUJARAT,STATE,BECL,LIGN,OIL,743.00,958.34,0.00,2150.00,1110533.92,6180.53,1116714.45,1.50,
,23.00,BHILAI TPP,0.00,,500.00,THERMAL,CHATTISGARH,CENTER,NTPC/SAIL,COAL,OIL,3542.00,2706.00,107.00,731.00,3530027.19,2074.34,3532101.53,1.00,
,23.00,BHILAI TPP,1.00,20-04-2008,250.00,THERMAL,CHATTISGARH,CENTER,NTPC/SAIL,COAL,OIL,1703.91,1308.06,51.71,450.25,1706298.87,1281.52,1707580.39,1.00,
,23.00,BHILAI TPP,2.00,12-07-2009,250.00,THERMAL,CHATTISGARH,CENTER,NTPC/SAIL,COAL,OIL,1838.13,1398.09,55.26,281.25,1823728.32,792.82,1824521.14,0.99,
,24.00,BHUSAWAL,0.00,,1210.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,6992.15,5865.30,229.14,10097.77,7671248.20,30708.33,7701956.53,1.10,
,24.00,BHUSAWAL,3.00,04-05-1982,210.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,879.62,956.27,0.00,3665.50,1187235.71,11205.88,1198441.58,1.36,
,24.00,BHUSAWAL,4.00,07-03-2012,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,2950.55,2373.18,110.29,3000.27,3133760.89,9109.55,3142870.44,1.07,
,25.00,BHUSAWAL,5.00,03-01-2014,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,3161.98,2535.85,118.85,3432.00,3350251.60,10392.90,3360644.50,1.06,
,25.00,BINA TPP,0.00,,500.00,THERMAL,MADHYA PRADESH,PVT,BINA POWER SUPPLY,COAL,OIL,3060.00,2353.02,0.00,1336.00,3204246.52,4011.72,3208258.24,1.05,
,25.00,BINA TPP,1.00,12-08-2012,250.00,THERMAL,MADHYA PRADESH,PVT,BINA POWER SUPPLY,COAL,OIL,1414.00,1079.09,0.00,716.00,1481106.35,2149.99,1483256.34,1.05,
,25.00,BINA TPP,2.00,31-03-2013,250.00,THERMAL,MADHYA PRADESH,PVT,BINA POWER SUPPLY,COAL,OIL,1646.00,1273.93,0.00,620.00,1723140.17,1861.73,1725001.90,1.05,
,26.00,BINJKOTE,0.00,,600.00,THERMAL,CHATTISGARH,PVT,SKS POWER GENERATION,COAL,OIL,2634.93,2195.20,0.00,1352.58,2816170.94,3868.09,2820039.03,1.07,
,26.00,BINJKOTE,1.00,28-03-2018,300.00,THERMAL,CHATTISGARH,PVT,SKS POWER GENERATION,COAL,OIL,1465.61,1243.33,0.00,683.14,1595040.27,1953.64,1596993.91,1.09,
,26.00,BINJKOTE,2.00,25-04-2017,300.00,THERMAL,CHATTISGARH,PVT,SKS POWER GENERATION,COAL,OIL,1169.33,951.87,0.00,669.44,1221130.67,1914.45,1223045.13,1.05,
,27.00,BOKARO A ''EXP'',0.00,,500.00,THERMAL,JHARKHAND,CENTER,DVC,COAL,OIL,3388.76,2178.89,18.81,922.56,3277036.65,2538.07,3279574.72,0.97,
,27.00,BOKARO A ''EXP'',1.00,22-03-2016,500.00,THERMAL,JHARKHAND,CENTER,DVC,COAL,OIL,3388.76,2178.89,18.81,922.56,3277036.65,2538.07,3279574.72,0.97,
,28.00,BONGAIGAON TPP,0.00,,750.00,THERMAL,ASSAM,CENTER,NTPC,COAL,OIL,4622.00,3043.00,112.00,2020.00,4616415.96,5477.86,4621893.82,1.00,
,28.00,BONGAIGAON TPP,1.00,22-06-2015,250.00,THERMAL,ASSAM,CENTER,NTPC,COAL,OIL,1605.00,1067.40,36.00,535.00,1615370.71,1449.82,1616820.53,1.01,
,28.00,BONGAIGAON TPP,2.00,22-03-2017,250.00,THERMAL,ASSAM,CENTER,NTPC,COAL,OIL,1407.00,927.70,37.00,876.00,1412196.81,2377.16,1414573.97,1.01,
,28.00,BONGAIGAON TPP,3.00,26-03-2019,250.00,THERMAL,ASSAM,CENTER,NTPC,COAL,OIL,1610.00,1047.90,39.00,609.00,1588848.44,1650.88,1590499.31,0.99,
,29.00,BUDGE BUDGE,0.00,,750.00,THERMAL,WEST BENGAL,PVT,CESC,COAL,OIL,5296.28,3526.47,0.00,909.05,4955993.08,2795.72,4958788.79,0.94,
,29.00,BUDGE BUDGE,1.00,16-09-1997,250.00,THERMAL,WEST BENGAL,PVT,CESC,COAL,OIL,1780.23,1179.88,0.00,125.97,1660436.08,387.42,1660823.50,0.93,
,29.00,BUDGE BUDGE,2.00,06-03-1999,250.00,THERMAL,WEST BENGAL,PVT,CESC,COAL,OIL,1594.74,1080.81,0.00,355.80,1518555.77,1094.23,1519650.00,0.95,
,29.00,BUDGE BUDGE,3.00,12-07-2009,250.00,THERMAL,WEST BENGAL,PVT,CESC,COAL,OIL,1921.11,1265.78,0.00,427.28,1777001.23,1314.07,1778315.29,0.93,
,30.00,BUTIBORI TPP -II ,0.00,,600.00,THERMAL,MAHARASHTRA,PVT,VIDHARAB IND PVT LTD,COAL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,30.00,BUTIBORI TPP -II,1.00,17-08-2012,300.00,THERMAL,MAHARASHTRA,PVT,VIDHARAB IND PVT LTD,COAL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,30.00,BUTIBORI TPP -II,2.00,31-03-2014,300.00,THERMAL,MAHARASHTRA,PVT,VIDHARAB IND PVT LTD,COAL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,31.00,CHAKABURA TPP,0.00,,30.00,THERMAL,CHATTISGARH,PVT,ACB INDIA LTD,COAL,OIL,190.34,345.56,0.00,28.22,262681.25,83.12,262764.38,1.38,
,31.00,CHAKABURA TPP,1.00,27-02-2007,0.00,THERMAL,CHATTISGARH,PVT,ACB INDIA LTD,COAL,OIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,31.00,CHAKABURA TPP,2.00,30-03-2014,30.00,THERMAL,CHATTISGARH,PVT,ACB INDIA LTD,COAL,OIL,190.34,345.56,0.00,28.22,262681.25,83.12,262764.38,1.38,
,32.00,CHANDRAPUR_Coal,0.00,,2920.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,14894.45,12026.49,923.09,20213.00,15529494.22,60018.94,15589513.16,1.05,
,32.00,CHANDRAPUR_Coal,3.00,03-05-1985,210.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,992.22,925.93,28.48,2951.00,1166519.22,8762.47,1175281.69,1.18,
,32.00,CHANDRAPUR_Coal,4.00,08-03-1986,210.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,819.61,739.17,15.79,2088.00,939806.99,6199.95,946006.94,1.15,
,32.00,CHANDRAPUR_Coal,5.00,22-03-1991,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,1629.47,1270.28,186.42,1367.00,1778482.94,4059.07,1782542.01,1.09,
,32.00,CHANDRAPUR_Coal,6.00,11-03-1992,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,2284.83,1992.17,167.90,6813.00,2541617.74,20230.00,2561847.74,1.12,
,32.00,CHANDRAPUR_Coal,7.00,01-10-1997,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,2363.50,2326.82,0.00,4006.00,2701694.00,11895.11,2713589.11,1.15,
,32.00,CHANDRAPUR_Coal,8.00,29-03-2015,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,3443.72,2409.81,262.81,1074.00,3253171.64,3189.05,3256360.69,0.95,
,32.00,CHANDRAPUR_Coal,9.00,21-03-2016,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,3361.10,2362.31,261.69,1914.00,3148201.70,5683.29,3153884.99,0.94,
,33.00,CHANDRAPURA,0.00,,500.00,THERMAL,JHARKHAND,CENTER,DVC,COAL,OIL,3390.90,2447.85,62.47,1576.25,3235004.55,4425.80,3239430.34,0.96,
,33.00,CHANDRAPURA,7.00,04-11-2009,250.00,THERMAL,JHARKHAND,CENTER,DVC,COAL,OIL,1663.01,1220.19,28.81,773.98,1608341.24,2173.83,1610515.06,0.97,
,33.00,CHANDRAPURA,8.00,31-03-2010,250.00,THERMAL,JHARKHAND,CENTER,DVC,COAL,OIL,1727.89,1227.66,33.66,802.27,1626663.31,2251.97,1628915.28,0.94,
,34.00,CHHABRA TPS,0.00,,2320.00,THERMAL,RAJASTHAN,STATE,RRVUNL,COAL,OIL,12158.47,8455.00,248.53,8389.71,12425494.37,26549.89,12452044.26,1.02,
,34.00,CHHABRA TPS,1.00,30-10-2009,250.00,THERMAL,RAJASTHAN,STATE,RRVUNL,COAL,OIL,1531.77,1221.17,0.00,1298.36,1619816.16,4250.09,1624066.25,1.06,
,34.00,CHHABRA TPS,2.00,04-05-2010,250.00,THERMAL,RAJASTHAN,STATE,RRVUNL,COAL,OIL,1587.73,1267.82,0.00,1313.73,1683109.21,4715.17,1687824.38,1.06,
,34.00,CHHABRA TPS,3.00,14-09-2013,250.00,THERMAL,RAJASTHAN,STATE,RRVUNL,COAL,OIL,1095.90,851.36,0.00,860.54,1145396.70,3198.91,1148595.60,1.05,
,34.00,CHHABRA TPS,4.00,30-06-2014,250.00,THERMAL,RAJASTHAN,STATE,RRVUNL,COAL,OIL,1159.93,934.84,0.00,1716.07,1267885.80,5391.94,1273277.75,1.10,
,34.00,CHHABRA TPS,5.00,04-04-2017,660.00,THERMAL,RAJASTHAN,STATE,RRVUNL,COAL,OIL,3323.86,2088.54,126.92,1683.83,3357317.52,4723.07,3362040.59,1.01,
,34.00,CHHABRA TPS,6.00,29-03-2019,660.00,THERMAL,RAJASTHAN,STATE,RRVUNL,COAL,OIL,3459.28,2091.27,121.61,1517.18,3351968.99,4270.70,3356239.69,0.97,
,35.00,D.P.L.,0.00,,550.00,THERMAL,WEST BENGAL,STATE,DPL,COAL,OIL,2120.10,1549.26,0.00,1987.38,2395352.63,6176.82,2401529.46,1.13,
,35.00,D.P.L.,7.00,24-11-2007,300.00,THERMAL,WEST BENGAL,STATE,DPL,COAL,OIL,939.70,715.92,0.00,971.09,1106903.32,3018.17,1109921.49,1.18,
,35.00,D.P.L.,8.00,31-03-2014,250.00,THERMAL,WEST BENGAL,STATE,DPL,COAL,OIL,1180.40,833.34,0.00,1016.29,1288449.31,3158.65,1291607.97,1.09,
,36.00,DADRI (NCTPP),0.00,,1820.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,9232.00,5965.40,902.00,5322.00,9198095.30,14461.83,9212557.13,1.00,
,36.00,DADRI (NCTPP),1.00,21-12-1991,210.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,946.00,646.60,81.00,606.00,972462.88,1634.08,974096.96,1.03,
,36.00,DADRI (NCTPP),2.00,18-12-1992,210.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,924.00,649.30,92.00,629.00,993362.95,1689.26,995052.21,1.08,
